hostname,pop,area,kota,kecamatan,kelurahan,up3,ulp,asal_olt,jenis_olt,brand_olt,type,kapasitas,port_idle,homepass,home_connected,utilitas,instalation_olt,jumlah_port_olt,nms_olt,l3_switch,status_olt,aging,kategori_cluster,kategori_aging,kategori_tur,idle_hp,jumlah_port_terpakai,koordinat
JABAR-ULP.TANJUNGSARI-BD.GP3600-OLT-01,SI_RJBB_SUMEDANG_TANJUNGSARI,CIREBON,KAB. SUMEDANG,KEC. TANJUNGSARI,TANJUNGSARI,UP3 SUMEDANG,ULP TANJUNGSARI,SI,INDOOR,RAISECOM,MICRO OLT,512,0,864,829,95.95%,2 Dec 2021,16,,JABAR-ODC.TANJUNG.SARI-ASR920-UPE-01,ON AIR,763,EXISTING CLUSTER,>2 TAHUN,TUR>50%,35,16,"-6.89618, 107.80785"
JABAR-MINI.POP.GRIYA.MAS-HUAWEI.MA5801-OLT-01,TK2_RJBB_KAB. KARAWANG_PERUM GRIYA MAS,BANDUNG,KAB. KARAWANG,KEC. PURWASARI,PURWASARI,UP3 KARAWANG,ULP KOSAMBI,TK 2,INDOOR,HUAWEI,MINI OLT,512,0,640,393,61.41%,3 Dec 2021,16,,JABAR-SHELTER.ULP.KOSAMBI.BARU-ASR920-UPE-01,ON AIR,762,EXISTING CLUSTER,>2 TAHUN,TUR>50%,247,16,"-6.361694, 107.392167"
JABAR-MINI.POP.DE.KRATON-HUAWEI.MA5801-OLT-01,TK2_RJBB_KAB. KARAWANG_de keRATON KARAWANG,BANDUNG,KAB. KARAWANG,KEC. KLARI,PANCAWATI,UP3 KARAWANG,ULP KOSAMBI,TK 2,INDOOR,HUAWEI,MINI OLT,512,0,824,568,68.93%,3 Dec 2021,16,,JABAR-SHELTER.ULP.KOSAMBI.BARU-ASR920-UPE-01,ON AIR,762,EXISTING CLUSTER,>2 TAHUN,TUR>50%,256,16,"-6.352639, 107.38325"
JABAR-MINI-POP.BUMI.ENDAH-HUAWEI.MA5801-OLT-01,TK2_RJBB_KOTA TASIKMALAYA_PERUM BUMI ENDAH RESIDENCE,TASIKMALAYA,KOTA TASIKMALAYA,KEC. INDIHIANG,PARAKANYASAG,UP3 TASIKMALAYA,ULP TASIKMALAYA KOTA,TK 2,INDOOR,HUAWEI,MINI OLT,512,0,648,476,73.46%,3 Dec 2021,16,,JABAR-ODC.ULP.CIAMIS-ASR920-UPE-01,ON AIR,762,EXISTING CLUSTER,>2 TAHUN,TUR>50%,172,16,"-7.295087, 108.214439"
JABAR-MINI-POP.GARUT.CITY-HUAWEI.MA5801-OLT-01,TK2_RJBB_KAB. GARUT_GARUT CITY RESIDENCE,TASIKMALAYA,KAB. GARUT,KEC. GARUT KOTA,MUARA SANDING,UP3 GARUT,ULP GARUT KOTA,TK 2,INDOOR,HUAWEI,MINI OLT,512,0,640,440,68.75%,5 Dec 2021,16,,JABAR-SHELTER.GI.GARUT-ASR920.12SZ-UPE-04,ON AIR,760,EXISTING CLUSTER,>2 TAHUN,TUR>50%,200,16,"-7.237349, 107.895292"
JABAR-MINI.POP.MEKARSARI.SMD-HW.MA5801-OLT-01,TK2_RJBB_KAB. SUMEDANG_MEKARSARI,CIREBON,KAB. SUMEDANG,KEC. SUMEDANG SELATAN,MEKARSARI,UP3 SUMEDANG,ULP SUMEDANG KOTA,TK 2,INDOOR,HUAWEI,MINI OLT,512,0,776,599,77.19%,5 Dec 2021,16,,JABAR-APJ.SUMEDANG-ASR920-UPE-02,ON AIR,760,EXISTING CLUSTER,>2 TAHUN,TUR>50%,177,16,"-6.83703, 107.91412"
JABAR-MINI.POP.PERUM.KORPRI-HW.MA5801-OLT-01,TK2_RJBB_KAB. CIREBON_PERUMAHAN KORPRI,CIREBON,KAB. CIREBON,KEC. SUMBER,CEMPAKA,UP3 CIREBON,ULP SUMBER,TK 2,INDOOR,HUAWEI,MINI OLT,512,0,584,375,64.21%,4 Dec 2021,16,,JABAR-ODC.ULP.SUMBER-ASR920-UPE-01,ON AIR,761,EXISTING CLUSTER,>2 TAHUN,TUR>50%,209,16,"-6.74974, 108.46952"
JABAR-MINI.POP.BUMI.PAMIJAHAN-HUAWEI.MA5801-OLT-01,TK2_RJBB_KAB. CIREBON_BUMI ASRI PAMIJAHAN,CIREBON,KAB. CIREBON,KEC. PLUMBON,PAMIJAHAN,UP3 CIREBON,ULP SUMBER,TK 2,INDOOR,HUAWEI,MINI OLT,512,0,712,568,79.78%,4 Dec 2021,16,,JABAR-ODC.ULP.SUMBER-ASR920-UPE-01,ON AIR,761,EXISTING CLUSTER,>2 TAHUN,TUR>50%,144,16,"-6.73585, 108.46941"
JABAR-MINI.POP.GANDASARI.GRT-HUAWEI.MA5801-OLT-01,TK2_RJBB_KAB. GARUT_GANDASARI,TASIKMALAYA,KAB. GARUT,KEC. CILAWU,MANGKURAYAT,UP3 GARUT,ULP GARUT KOTA,TK 2,INDOOR,HUAWEI,MINI OLT,512,0,752,496,65.96%,11 Dec 2021,16,,JABAR-SHELTER.GI.GARUT-ASR920.12SZ-UPE-04,ON AIR,754,EXISTING CLUSTER,>2 TAHUN,TUR>50%,256,16,"-7.24482, 107.888553"
JABAR-MINI.POP.BUANA.SUBANG-HUAWEI.MA5801-OLT-01,SI_RJBB_SUBANG_Buana Subang,BANDUNG,KAB. SUBANG,KEC. SUBANG,KARANGANYAR,UP3 PURWAKARTA,ULP SUBANG,TK 2,INDOOR,HUAWEI,MINI OLT,512,0,632,423,66.93%,14 Dec 2021,16,,JABAR-ODC.ULP.SUBANG-ASR920-UPE-01,ON AIR,751,EXISTING CLUSTER,>2 TAHUN,TUR>50%,209,16,"-6.561903, 107.785697"
