hostname,pop,area,kota,kecamatan,kelurahan,up3,ulp,asal_olt,jenis_olt,brand_olt,type,kapasitas,port_idle,homepass,home_connected,utilitas,instalation_olt,jumlah_port_olt,nms_olt,l3_switch,status_olt,aging,kategori_cluster,kategori_aging,kategori_tur,idle_hp,jumlah_port_terpakai,koordinat
JABAR-MIKROPOP.DESA.KADU-ZT.ZXA10.C320-OLT-01,SI_RJBB_SUMEDANG_DESA KADU,CIREBON,KAB. SUMEDANG,KEC. MAJALENGKA,KADU,UP3 SUMEDANG,ULP MAJALENGKA,SI,INDOOR,ZTE,MINI,256,0,168,61,36.31%,15 May 2022,8,,,ON AIR,599,EXISTING CLUSTER,1-2 TAHUN,TUR <50%,107,8,"-6.87157, 108.19612"
JABAR-MIKROPOP.CIMALAKA.SITUWANGI-HW.MA5801-OLT-01,SI_RJBB_SUMEDANG_SITUWANGI CIMALAKA,CIREBON,KAB. SUMEDANG,KEC. CIMALAKA,LICIN,UP3 SUMEDANG,ULP SUMEDANG KOTA,TK 2,INDOOR,HUAWEI,MINI,512,8,536,455,84.89%,15 May 2022,16,,,ON AIR,599,EXISTING CLUSTER,1-2 TAHUN,TUR>50%,81,8,"-6.8056807, 107.9493058"
JABAR-MIKROPOP.DESA.MEKARJATI-ZT.ZXA10.C320-OLT-01,SI_RJBB_KARAWANG_DESA MEKARJATI,BANDUNG,KAB. KARAWANG,KEC. KARAWANG BARAT,MEKARJATI,UP3 KARAWANG,ULP KARAWANG KOTA,SI,INDOOR,ZTE,MINI,256,1,336,214,63.69%,23 May 2022,8,,,ON AIR,591,EXISTING CLUSTER,1-2 TAHUN,TUR>50%,122,7,"-6.257484, 107.294590"
JABAR-MIKRO.POP.DESA.LINGGAJATI-ZT.ZXA10.C320-OLT-01,SI_RJBB_TASIKMALAYA_CISINGA GEOPARK PELABUHAN RATU,TASIKMALAYA,KAB. TASIKMALAYA,KEC. SUKARATU,LINGGAJATI,UP3 TASIKMALAYA,ULP SINGAPARNA,SI,INDOOR,ZTE,MINI,256,0,168,101,60.12%,25 May 2022,8,,,ON AIR,589,EXISTING CLUSTER,1-2 TAHUN,TUR>50%,67,8,"-7.279269, 108.115682"
JABAR-MIKROPOP.CIBATU-ZT.ZXA10.C320-OLT-01,SI_RJBB_GARUT_KERTAJAYA,TASIKMALAYA,KAB. GARUT,KEC. CIBATU,CIBATU,UP3 GARUT,ULP CIBATU,SI,INDOOR,ZTE,MINI,256,0,312,228,73.08%,25 May 2022,8,,,ON AIR,589,EXISTING CLUSTER,1-2 TAHUN,TUR>50%,84,8,"-7.100596, 107.981705"
JABAR-MIKROPOP.DESA.SINDANGKASIH-ZT.ZXA10.C320-OLT-01,SI_RJBB_CIREBON_DESA SINDANGKASIH,CIREBON,KAB. CIREBON,KEC. SUMBER,SINDANGKASIH,UP3 CIREBON,ULP SUMBER,SI,INDOOR,ZTE,MINI,257,0,296,212,71.62%,26 May 2022,8,,,ON AIR,588,EXISTING CLUSTER,1-2 TAHUN,TUR>50%,84,8,
JABAR-MIKROPOP.BTRAGUNG-BD.GP3600-OLT-01,SI_RJBB_MAJALENGKA_DESA WISATA BANTARAGUNG,CIREBON,KAB. MAJALENGKA,KEC. SINDANGWANGI,RAJAGALUH LOR,UP3 SUMEDANG,ULP MAJALENGKA,SI,INDOOR,BDCOM,MICRO OLT,256,0,240,175,72.92%,8 Jun 2022,8,,,ON AIR,575,EXISTING CLUSTER,1-2 TAHUN,TUR>50%,65,8,"-6.77761, 108.34266"
JABAR-MIKROPOP.DESA.GANTAR-ZT.ZXA10.C320-OLT-01,SI_RJBB_INDRAMAYU_DESA GANTAR,CIREBON,KAB. INDRAMAYU,KEC. INDRAMAYU,HAURKOLOT,UP3 INDRAMAYU,ULP INDRAMAYU KOTA,SI,INDOOR,ZTE,MINI,256,0,224,130,58.04%,7 Jun 2022,8,,,ON AIR,576,EXISTING CLUSTER,1-2 TAHUN,TUR>50%,94,8,"-6.47719, 107.94947"
JABAR-MIKROPOP.HAURWANGI.CIANJUR-HW.MA5801-OLT-01,SI_RJBB_CIANJUR_HAURWANGI,BANDUNG,KAB. CIANJUR,KEC. HAURWANGI,KERTASARI,UP3 CIANJUR,ULP MANDE,SI,INDOOR,HUAWEI,MINI,512,8,656,505,76.98%,3 Jun 2022,16,,,ON AIR,580,EXISTING CLUSTER,1-2 TAHUN,TUR>50%,151,8,"-6.81984, 107.30081"
JABAR-RYLCEMPAKA.PWK-RC-OLT-01,SI_RJBB_PURWAKARTA_PERUMAHAN SAMESTA ROYAL CAMPAKA,BANDUNG,KAB. PURWAKARTA,KEC. CAMPAKA,CAMPAKA,UP3 PURWAKARTA,ULP PURWAKARTA KOTA,SI,INDOOR,RAISECOM,MIKRO,256,0,288,79,27.43%,4 Jul 2022,8,,,ON AIR,549,EXISTING CLUSTER,1-2 TAHUN,TUR <50%,209,8,"-6.507274, 107.485527"
JABAR-MINI.POP.DESA.CITAPEN-HW.MA5801-OLT-01,SI_RJBB_KUNINGAN_CITAPEN,CIREBON,KAB. KUNINGAN,KEC. JAPARA,CITAPEN,UP3 CIREBON,ULP KUNINGAN,SI,INDOOR,HUAWEI,MINI,512,8,288,38,13.19%,12 Jul 2022,16,,,ON AIR,541,EXISTING CLUSTER,1-2 TAHUN,TUR <50%,250,8,"-6.90367, 108.52789"
JABAR-MIKROPOP.PURWADADI-HW.MA5801-OLT-01,SI_RJBB_CIAMIS_PURWADADI,TASIKMALAYA,KAB. CIAMIS,KEC. PURWADADI,BANTARDAWA,UP3 TASIKMALAYA,ULP CIAMIS,SI,INDOOR,HUAWEI,MINI,512,8,304,214,70.39%,22 Jul 2022,16,,,ON AIR,531,EXISTING CLUSTER,1-2 TAHUN,TUR>50%,90,8,"-7.4456602, 108.6182598"
JABAR-BUMI.SARIWANGI-RC-OLT-01,SI_RJBB_BANDUNG BARAT_BUMI SARIWANGI,BANDUNG,KAB. BANDUNG BARAT,KEC. PARONGPONG,SARIWANGI,UP3 CIMAHI,ULP CIMAHI KOTA,SI,INDOOR,RAISECOM,MIKRO,256,0,192,33,17.19%,26 Jul 2022,8,,,ON AIR,527,EXISTING CLUSTER,1-2 TAHUN,TUR <50%,159,8,"-6.86064419101575, 107.569227997435"
JABAR-MIKROPOP.KEC.SINDANGWANGI-HW.MA5801-OLT-01,CB_RJBB_Majalengka_Kec Sindangwangi Majalengka,CIREBON,KAB. MAJALENGKA,KEC. SINDANGWANGI,SINDANGWANGI,UP3 SUMEDANG,ULP MAJALENGKA,CB 1,INDOOR,HUAWEI,MINI,512,0,528,156,29.55%,15 Oct 2022,16,,,ON AIR,446,EXISTING CLUSTER,1-2 TAHUN,TUR <50%,372,16,"-6.7927944, 108.3715663"
JABAR-MIKROPOP.PURWAHARJA-HW.MA5801-OLT-01,CB_RJBB_Banjar_Kec Purwaharja,TASIKMALAYA,KOTA BANJAR,KEC. PURWAHARJA,RAHARJA,UP3 TASIKMALAYA,ULP BANJAR,CB 1,INDOOR,HUAWEI,MINI,512,0,608,372,61.18%,10 Sep 2022,16,,,ON AIR,481,EXISTING CLUSTER,1-2 TAHUN,TUR>50%,236,16,"-7.3615392, 108.5622191"
JABAR-MIKROPOP.DESA.SUKAMANAH-HW.MA5801-OLT-01,CB_RJBB_Tasikmalaya_Desa Sukamanah,TASIKMALAYA,KAB. TASIKMALAYA,KEC. SUKAMANAH,SUKAMANAH,UP3 TASIKMALAYA,ULP SINGAPARNA,CB 1,INDOOR,HUAWEI,MINI,512,0,536,199,37.13%,10 Oct 2022,16,,,ON AIR,451,EXISTING CLUSTER,1-2 TAHUN,TUR <50%,337,16,"-7.349821, 108.082945"
JABAR-MIKROPOP.CIMANGGU-HW.MA5801-OLT-01,CB_RJBB_Sukabumi_Cimanggu,BANDUNG,KAB. SUKABUMI,KEC. CIMANGGU,CIMANGGU,UP3 SUKABUMI,ULP PELABUHAN RATU,CB 1,INDOOR,HUAWEI,MINI,512,0,528,451,85.42%,20 Sep 2022,16,,,ON AIR,471,EXISTING CLUSTER,1-2 TAHUN,TUR>50%,77,16,"-7.2504422, 106.6729096"
JABAR-MIKROPOP.PASIRKEREUMBI-HW.MA5801-OLT-01,CB_RJBB_Subang_Desa Pasir Keureumbi,BANDUNG,KAB. SUBANG,KEC. PASIRKEREUMBI,PASIRKAREUMBI,UP3 PURWAKARTA,ULP SUBANG,CB 1,INDOOR,HUAWEI,MINI,512,0,696,467,67.10%,1 Oct 2022,16,,,ON AIR,460,EXISTING CLUSTER,1-2 TAHUN,TUR>50%,229,16,"-6.578008260271528, 107.7799058530074"
JABAR-MIKROPOP.DESA.SUKATALI-HW.MA5801-OLT-01,CB_RJBB_Sumedang_Desa Situraja,CIREBON,KAB. SUMEDANG,KEC. SUKATALI,SUKATALI,UP3 SUMEDANG,ULP SUMEDANG KOTA,CB 1,INDOOR,HUAWEI,MINI,512,0,608,353,58.06%,1 Oct 2022,16,,,ON AIR,460,EXISTING CLUSTER,1-2 TAHUN,TUR>50%,255,16,"-6.835706,107.999306"
JABAR-MIKROPOP.BALEENDAH.PERMAI-HW.MA5801-OLT-01,CB_RJBB_Bandung_Perum Baleendah (ODC UP3 Majalaya),BANDUNG,KAB. BANDUNG,KEC. BALEENDAH,BALEENDAH,UP3 MAJALAYA,ULP BALEENDAH,CB 1,INDOOR,HUAWEI,MINI,512,0,656,315,48.02%,1 Oct 2022,16,,,ON AIR,460,EXISTING CLUSTER,1-2 TAHUN,TUR <50%,341,16,"-7.006870636126889, 107.63537836660564"
JABAR-MIKROPOP.KEDOKANBUNDER-HW.MA5801-OLT-01,CB_RJBB_Indramayu_Desa Kedokanbunder,CIREBON,KAB. INDRAMAYU,KEC. KEDOKANBUNDER,KEDOKAN AGUNG,UP3 INDRAMAYU,ULP JATIBARANG,CB 1,INDOOR,HUAWEI,MINI,512,0,552,220,39.86%,9 Oct 2022,16,,,ON AIR,452,EXISTING CLUSTER,1-2 TAHUN,TUR <50%,332,16,"-6.500729569, 108.4263632"
JABAR-MIKROPOP.PERUM.MARGALAKSANA-HW.MA5801-OLT-01,CB_RJBB_Indramayu_Perum Margalaksana,CIREBON,KAB. INDRAMAYU,KEC. INDRAMAYU,MARGADADI,UP3 INDRAMAYU,ULP INDRAMAYU KOTA,CB 1,INDOOR,HUAWEI,MINI,512,0,512,182,35.55%,13 Oct 2022,16,,,ON AIR,448,EXISTING CLUSTER,1-2 TAHUN,TUR <50%,330,16,"-6.3262379, 108.3218706"
JABAR-MIKROPOP.GRIYA.CEMPAKA-HW.MA5801-OLT-01,CB_RJBB_Garut_Griya Cempaka Wangi,TASIKMALAYA,KAB. GARUT,KEC. KARANGPAWITAN,SUCI,UP3 GARUT,ULP GARUT KOTA,CB 1,INDOOR,HUAWEI,MINI,512,0,536,267,49.81%,10 Oct 2022,16,,,ON AIR,451,EXISTING CLUSTER,1-2 TAHUN,TUR <50%,269,16,"-7.2254882, 107.9252193"
JABAR-MIKROPOP.DESA.CITEUREUP-HW.MA5801-OLT-01,CB_RJBB_Ciamis_Desa Citeureup,TASIKMALAYA,KAB. CIAMIS,KEC. KAWALI,KAAWALI,UP3 TASIKMALAYA,ULP CIAMIS,CB 1,INDOOR,HUAWEI,MINI,512,0,528,216,40.91%,10 Oct 2022,16,,,ON AIR,451,EXISTING CLUSTER,1-2 TAHUN,TUR <50%,312,16,"-7.1584, 108.3526"
JABAR-MIKROPOP.SINDANGLAYA.PWKT-HW.MA5801-OLT-01,CB_RJBB_Purwakarta_Desa Sindanglaya,BANDUNG,KAB. PURWAKARTA,KEC. SUKATANI,SINDANGLAYA,UP3 PURWAKARTA,ULP PLERED,CB 1,INDOOR,HUAWEI,MINI,512,0,560,285,50.89%,14 Oct 2022,16,,,ON AIR,447,EXISTING CLUSTER,1-2 TAHUN,TUR>50%,275,16,"-6.584275916170508, 107.3708934772315"
JABAR-MIKROPOP.DESA.LINGGARJATI-HW.MA5801-OLT-01,CB_RJBB_Kuningan_Desa Linggarjati,CIREBON,KAB. KUNINGAN,KEC. CILIMUS,LINGGARJATI,UP3 CIREBON,ULP CILIMUS,CB 1,INDOOR,HUAWEI,MINI,512,0,568,240,42.25%,17 Oct 2022,16,,,ON AIR,444,EXISTING CLUSTER,1-2 TAHUN,TUR <50%,328,16,"-6.87942, 108.47371"
JABAR-MIKROPOP.DESA.SANDING-HW.MA5801-OLT-01,CB_RJBB_Garut_Desa Sanding,TASIKMALAYA,KAB. GARUT,KEC. MALANGBONG,SANDING,UP3 GARUT,ULP CIBATU,CB 1,INDOOR,HUAWEI,MINI,512,0,584,353,60.45%,17 Oct 2022,16,,,ON AIR,444,EXISTING CLUSTER,1-2 TAHUN,TUR>50%,231,16,"-7.0830556, 108.0658333"
JABAR-MIKROPOP.MEKARSARI.PWK-HW.MA5801-OLT-01,CB_RJBB_Purwakarta_Desa Mekarsari,BANDUNG,KAB. PURWAKARTA,KEC. DARANGDAN,MEKARSARI,UP3 PURWAKARTA,ULP PLERED,CB 1,INDOOR,HUAWEI,MINI,512,0,552,297,53.80%,20 Oct 2022,16,,,ON AIR,441,EXISTING CLUSTER,1-2 TAHUN,TUR>50%,255,16,"-6.679323011748469, 107.37520137116825"
JABAR-MIKROPOP.MAJALENGKA.KOTA-HW.MA5801-OLT-O1,CB_RJBB_Majalengka_Majalengka kota (ULP Majalengka),CIREBON,KAB. MAJALENGKA,KEC. MAJALENGKA,SIDAMUKTI,UP3 SUMEDANG,ULP MAJALENGKA,CB 1,INDOOR,HUAWEI,MINI,512,0,552,248,44.93%,20 Oct 2022,16,,,ON AIR,441,EXISTING CLUSTER,1-2 TAHUN,TUR <50%,304,16,"-6.8518611, 108.1871934"
JABAR-MIKROPOP.DESA.JATI-HW.MA5801-OLT-01,CB_RJBB_Garut_Desa Jati,TASIKMALAYA,KAB. GARUT,KEC. TAROGONG KALER,JATI,UP3 GARUT,ULP GARUT KOTA,CB 1,INDOOR,HUAWEI,MINI,512,0,536,188,35.07%,20 Oct 2022,16,,,ON AIR,441,EXISTING CLUSTER,1-2 TAHUN,TUR <50%,348,16,"-7.188700, 107.900700"
JABAR-MIKROPOP.SADANANYA-HW.MA5801-OLT-01,CB_RJBB_Ciamis_Desa Sadananya,TASIKMALAYA,KAB. CIAMIS,KEC. SADANANYA,TANJUNGSARI,UP3 TASIKMALAYA,ULP CIAMIS,CB 1,INDOOR,HUAWEI,MINI,512,0,520,167,32.12%,20 Oct 2022,16,,,ON AIR,441,EXISTING CLUSTER,1-2 TAHUN,TUR <50%,353,16,"-7.25985, 108.31067"
JABAR-MIKROPOP.MELATIMAS.TERASTSK-HW.MA5801-OLT-01,CB_RJBB_Tasikmalaya_Melati mas,TASIKMALAYA,KOTA TASIKMALAYA,KEC. INDIHIANG,SUKAMAJUKALER,UP3 TASIKMALAYA,ULP TASIKMALAYA KOTA,CB 1,INDOOR,HUAWEI,MINI,512,0,528,222,42.05%,1 Nov 2022,16,,,ON AIR,429,EXISTING CLUSTER,1-2 TAHUN,TUR <50%,306,16,"-7.2725718, 108.1888808"
JABAR-MIKROPOP.KARANGJAYA.KRWG-HW.MA5801-OLT-01,CB_RJBB_Karawang_Desa Karangjaya,BANDUNG,KAB. KARAWANG,KEC. PEDES,KARANGJAYA,UP3 KARAWANG,ULP RENGASDENGKLOK,CB 1,INDOOR,HUAWEI,MINI,512,0,760,537,70.66%,1 Nov 2022,16,,,ON AIR,429,EXISTING CLUSTER,1-2 TAHUN,TUR>50%,223,16,"-6.115960320618925, 107.35613200147631"
JABAR-MIKROPOP.SALOPA.MANDALAHAYU-HW.MA5801-OLT-01,CB_RJBB_Tasikmalaya_Desa Salopa,TASIKMALAYA,KAB. TASIKMALAYA,KEC. SALOPA,MANDALAHAYU,UP3 TASIKMALAYA,ULP KARANGNUNGGAL,CB 1,INDOOR,HUAWEI,MINI,512,0,536,143,26.68%,1 Nov 2022,16,,,ON AIR,429,EXISTING CLUSTER,1-2 TAHUN,TUR <50%,393,16,"-7.527857449095493, 108.27199999640962"
JABAR-MIKROPOP.GRAHA.ALANA-HW.MA5801-OLT-01,CB_RJBB_Kuningan_Graha Alana,CIREBON,KAB. KUNINGAN,KEC. CIGUGUR,CIGADUNG,UP3 CIREBON,ULP KUNINGAN,CB 1,INDOOR,HUAWEI,MINI,512,0,608,372,61.18%,1 Nov 2022,16,,,ON AIR,429,EXISTING CLUSTER,1-2 TAHUN,TUR>50%,236,16,"-6.9874737, 108.4749048"
JABAR-MIKROPOP.PAMARICAN.SUKAJAYA-HW.MA5801-OLT-01,CB_RJBB_Ciamis_Kec. Pamarican,TASIKMALAYA,KAB. CIAMIS,KEC. PAMARICAN,SUKAJAYA,UP3 TASIKMALAYA,ULP BANJAR,CB 1,INDOOR,HUAWEI,MINI,512,0,512,142,27.73%,11 Nov 2022,16,,,ON AIR,419,EXISTING CLUSTER,1-2 TAHUN,TUR <50%,370,16,"-7.4168419, 108.5223531"
JABAR-MIKROPOP.LEBAK.GEDE.ASRI-HW.MA5801-OLT-01,CB_RJBB_Garut_Perum Lebak Gede,TASIKMALAYA,KAB. GARUT,KEC. TAROGONG KALER,SIRNAJAYA,UP3 GARUT,ULP GARUT KOTA,CB 1,INDOOR,HUAWEI,MINI,512,0,528,148,28.03%,11 Nov 2022,16,,,ON AIR,419,EXISTING CLUSTER,1-2 TAHUN,TUR <50%,380,16,"-7.2059524, 107.8497758"
JABAR-MIKROPOP.BENTENG.CIAMIS-HW.MA5801-OLT-01,CB_RJBB_Ciamis_Desa Benteng,TASIKMALAYA,KAB. CIAMIS,KEC. CIAMIS,BENTENG,UP3 TASIKMALAYA,ULP CIAMIS,CB 1,INDOOR,HUAWEI,MINI,512,0,520,206,39.62%,11 Nov 2022,16,,,ON AIR,419,EXISTING CLUSTER,1-2 TAHUN,TUR <50%,314,16,"-7.3414110, 108.3490740"
JABAR-MIKROPOP.DANGDEUR.SUBANG.HW.MA5801-OLT-01,CB_RJBB_Subang_Desa Dangdeur,BANDUNG,KAB. SUBANG,KEC. SUBANG,DANGDEUR,UP3 PURWAKARTA,ULP SUBANG,CB 1,INDOOR,HUAWEI,MINI,512,0,656,427,65.09%,15 Nov 2022,16,,,ON AIR,415,EXISTING CLUSTER,1-2 TAHUN,TUR>50%,229,16,"-6.54989011168, 107.761073451"
JABAR-MIKROPOP.MAJA.SUKASARI-HW.MA5801-OLT-01,CB_RJBB_Majalengka_Maja & Sukasari,CIREBON,KAB. MAJALENGKA,KEC. MAJA,CICENANG,UP3 SUMEDANG,ULP MAJALENGKA,CB 1,INDOOR,HUAWEI,MINI,512,0,552,205,37.14%,24 Nov 2022,16,,,ON AIR,406,EXISTING CLUSTER,1-2 TAHUN,TUR <50%,347,16,"-6.8248976,108.2501646"
JABAR-MIKROPOP.CIRENDANG.KUNINGAN.HW.MA5801-OLT-01,CB_RJBB_Kuningan_Cirendang,CIREBON,KAB. KUNINGAN,KEC. KRAMATMULYA,KASTURI,UP3 CIREBON,ULP CILIMUS,CB 1,INDOOR,HUAWEI,MINI,512,0,528,237,44.89%,24 Nov 2022,16,,,ON AIR,406,EXISTING CLUSTER,1-2 TAHUN,TUR <50%,291,16,"-6.954842,108.495595"
JABAR-MIKROPOP.DESA.GANJARESIK.HW.MA5801-OLT-01,CB_RJBB_Sumedang_Desa Ganjaresik,CIREBON,KAB. SUMEDANG,KEC. WADO,GANJARESIK,UP3 SUMEDANG,ULP SUMEDANG KOTA,CB 1,INDOOR,HUAWEI,MINI,512,0,624,397,63.62%,24 Nov 2022,16,,,ON AIR,406,EXISTING CLUSTER,1-2 TAHUN,TUR>50%,227,16,"-6.9485961, 108.1264225"
JABAR-MIKROPOP.CIKUYA.CICALENGKA-HW.MA5801-OLT-01,CB_RJBB_Bandung_Desa CIkuya,BANDUNG,KAB. BANDUNG,KEC. CICALENGKA,TANJUNGLAYA,UP3 MAJALAYA,ULP RANCAEKEK,CB 1,INDOOR,HUAWEI,MINI,512,0,568,322,56.69%,24 Nov 2022,16,,,ON AIR,406,EXISTING CLUSTER,1-2 TAHUN,TUR>50%,246,16,"-6.98428365, 107.8302104"
JABAR-MIKROPOP.DESA.KARANGMULYA-FH.AN6001.G16-OLT-01,CB_RJBB_Tasikmalaya_Desa Karangmulya,TASIKMALAYA,KAB. TASIKMALAYA,KEC. CIAWI,KARANGMULYA,UP3 TASIKMALAYA,ULP RAJAPOLAH,CB 1,INDOOR,FIBERHOME,MINI,512,0,512,116,22.66%,25 Nov 2022,16,,,ON AIR,405,EXISTING CLUSTER,1-2 TAHUN,TUR <50%,396,16,"-7.1855269, 108.1541130"
JABAR-ODC.ULP.CIBADAK-HW.MA5801-OLT-01,CB_RJBB_Sukabumi_Cibadak Parung Kuda,BANDUNG,KAB. SUKABUMI,KEC. CIBADAK,CIBADAK,UP3 SUKABUMI,ULP CIBADAK,CB 1,INDOOR,HUAWEI,MINI,512,0,664,447,67.32%,30 Nov 2022,16,,,ON AIR,400,EXISTING CLUSTER,1-2 TAHUN,TUR>50%,217,16,"-6.8953670, 106.8194700"
JABAR-MIKROPOP.PANGLESERAN.SUKABUMI-FH.AN6001.G16-OLT-01,CB_RJBB_Sukabumi_Pangleseran,BANDUNG,KAB. SUKABUMI,KEC. CIKEMBAR,KERTARAHARJA,UP3 SUKABUMI,ULP CIKEMBAR,CB 1,INDOOR,FIBERHOME,MINI,512,0,568,266,46.83%,4 Dec 2022,16,,,ON AIR,396,EXISTING CLUSTER,1-2 TAHUN,TUR <50%,302,16,"-6.9810590, 106.8445670"
JABAR-MIKROPOP.PELANGI.RESIDENCE-HW.MA5801-OLT-01,CB_RJBB_Tasikmalaya_Perum Pelangi,TASIKMALAYA,KOTA TASIKMALAYA,KEC. CIBEUREUM,KERSANAGARA,UP3 TASIKMALAYA,ULP TASIKMALAYA KOTA,CB 1,INDOOR,HUAWEI,MINI,512,0,528,171,32.39%,4 Dec 2022,16,,,ON AIR,396,EXISTING CLUSTER,1-2 TAHUN,TUR <50%,357,16,"-7.3590912, 108.2365788"
JABAR-MIKROPOP.CIRANJANG.CIANJUR-FH.AN6001.G16-OLT-01,CB_RJBB_Cianjur_Desa Jati Ciranjang,BANDUNG,KAB. CIANJUR,KEC. CIRANJANG BOJONG PICUNG,DANGDEUR,UP3 CIANJUR,ULP MANDE,CB 1,INDOOR,FIBERHOME,MINI,512,0,536,203,37.87%,4 Dec 2022,16,,,ON AIR,396,EXISTING CLUSTER,1-2 TAHUN,TUR <50%,333,16,"-6.54989011168, 107.761073451"
JABAR-MIKROPOP.WANASARI.BANDUNG-FH.AN6001.G16-OLT-01,CB_RJBB_Bandung_Desa Wanasari,BANDUNG,KAB. BANDUNG,KEC. PANGALENGAN,WARNASARI,UP3 MAJALAYA,ULP BANJARAN,CB 1,INDOOR,FIBERHOME,MINI,512,0,640,428,66.88%,4 Dec 2022,16,,,ON AIR,396,EXISTING CLUSTER,1-2 TAHUN,TUR>50%,212,16,"-7.1944028, 107.5425893"
JABAR-MIKROPOP.PADAHERANG-HW.MA5801-OLT-01,CB_RJBB_Pangandaran_Padaherang,TASIKMALAYA,KAB. PANGANDARAN,KEC. PADAHERANG,KARANGPAWITAN,UP3 TASIKMALAYA,ULP PANGANDARAN,CB 1,INDOOR,HUAWEI,MINI,512,0,640,390,60.94%,4 Dec 2022,16,,,ON AIR,396,EXISTING CLUSTER,1-2 TAHUN,TUR>50%,250,16,-7.54119492 108.71270914
JABAR-MIKROPOP.DESA.TANJUNGMEDAR.HW.MA5801-OLT-01,CB_RJBB_Sumedang_Tanjungmedar,CIREBON,KAB. SUMEDANG,KEC. SUBANG,DANGDEUR,UP3 SUMEDANG,ULP SUMEDANG KOTA,CB 1,INDOOR,HUAWEI,MINI,512,0,520,168,32.31%,9 Dec 2022,16,,,ON AIR,391,EXISTING CLUSTER,1-2 TAHUN,TUR <50%,352,16,"-6.54989011168, 107.761073451"
JABAR-ODC.ULP.BANJAR-FH.AN6001.G16-OLT-01,CB_RJBB_Banjar_Banjar Kota,TASIKMALAYA,KOTA BANJAR,KEC. BANJAR,MEKARSARI,UP3 TASIKMALAYA,ULP BANJAR,CB 1,INDOOR,FIBERHOME,MINI,512,0,528,198,37.50%,20 Dec 2022,16,,,ON AIR,380,EXISTING CLUSTER,1-2 TAHUN,TUR <50%,330,16,"-7.3716750, 108.5358820"
JABAR-MIKROPOP.TALAGA.MAJALENGKA-FH.AN6001.G16-OLT-01,CB_RJBB_Cirebon_Desa Talaga,CIREBON,KAB. MAJALENGKA,KEC. PABEDILAN,SIDARESMI,UP3 SUMEDANG,ULP MAJALENGKA,CB 1,INDOOR,FIBERHOME,MINI,512,0,512,76,14.84%,1 Jan 2023,16,,,ON AIR,368,EXISTING CLUSTER,1-2 TAHUN,TUR <50%,436,16,"-6.9823730, 108.3057090"
JABAR-MIKROPOP.SIDARESMI.CIREBON-FH.AN6001.G16-OLT-01,CB_RJBB_Cirebon_Pabedlian,CIREBON,KAB. CIREBON,KEC. PABEDILAN,SIDARESMI,UP3 CIREBON,ULP CILEDUG,CB 1,INDOOR,FIBERHOME,MINI,512,0,520,192,36.92%,2 Jan 2023,16,,,ON AIR,367,EXISTING CLUSTER,1-2 TAHUN,TUR <50%,328,16,"-6.8800980, 108.7745400"
JABAR-MIKROPOP.KADUDAMPIT.SUKABUMI-FH.AN6001.G16-OLT-01,CB_RJBB_Sukabumi_Kadudampit,BANDUNG,KAB. SUKABUMI,KEC. CISAAT,KADUDAMPIT,UP3 SUKABUMI,ULP SUKABUMI KOTA,CB 1,INDOOR,FIBERHOME,MINI,512,0,576,279,48.44%,14 Jan 2023,16,,,ON AIR,355,EXISTING CLUSTER,6-12 BULAN,TUR <50%,297,16,"-6.8782760, 106.9060880"
JABAR-MIKROPOP.GIRIJAYA.NAGRAK.SUKABUMI-FH.AN6001.G16-OLT-01,SI_RJBB_SUKABUMI BALAI DESA GIRIJAYA NAGRAK,BANDUNG,KAB. SUKABUMI,KEC. NAGRAK,GIRIJAYA,UP3 SUKABUMI,ULP CIBADAK,SI,INDOOR,FIBERHOME,MINI,512,0,568,303,53.35%,14 Jan 2023,16,,,ON AIR,355,EXISTING CLUSTER,6-12 BULAN,TUR>50%,265,16,"-6.8670550, 106.8513500"
JABAR-MIKROPOP.SINDANGSARI.CIANJUR-FH.AN6001.G16-OLT-01,CB_RJBB_Cianjur_Desa Sindangsari,BANDUNG,KAB. CIANJUR,KEC. CILAKU,SINDANGSARI,UP3 CIANJUR,ULP CIANJUR KOTA,CB 1,INDOOR,FIBERHOME,MINI,512,0,560,264,47.14%,14 Jan 2023,16,,,ON AIR,355,EXISTING CLUSTER,6-12 BULAN,TUR <50%,296,16,"-6.8894200, 107.1592390"
JABAR-MIKROPOP.TANJUNGSARI.SUMEDANG-FH.AN6001.G16-OLT-01,CB_RJBB_Sumedang_Tanjungsari,CIREBON,KAB. SUMEDANG,KEC. TANJUNGSARI,MARGAJAYA,UP3 SUMEDANG,ULP TANJUNGSARI,CB 1,INDOOR,FIBERHOME,MINI,512,0,536,268,50.00%,19 Jan 2023,16,,,ON AIR,350,EXISTING CLUSTER,6-12 BULAN,TUR <50%,268,16,"-6.9065540, 107.8092980"
JABAR-MIKROPOP.GADOG.CIANJUR-FH.AN6001.G16-OLT-01,CB_RJBB_Cianjur_Desa Gadog,BANDUNG,KAB. CIANJUR,KEC. CIPANAS,GADOG,UP3 CIANJUR,ULP CIPANAS,CB 1,INDOOR,FIBERHOME,MINI,512,0,528,193,36.55%,19 Jan 2023,16,,,ON AIR,350,EXISTING CLUSTER,6-12 BULAN,TUR <50%,335,16,"-6.7336438, 107.0485678"
